meterno,metermodel,accountno,transformer_id,isdualtariff,oldsgc,newsgc,newtariffid,oldtariffid,newtariffdual,oldtariffdual,newsgcdual,oldsgcdual,krn1,krn2,needkct,credittype
62525019097,prepaid,PRICO001,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525029989,prepaid,PRICO002,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525020566,prepaid,PRICO003,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525029922,prepaid,PRICO004,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525025029,prepaid,PRICO005,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525026837,prepaid,PRICO006,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525019139,prepaid,PRICO007,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525017943,prepaid,PRICO008,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525020855,prepaid,PRICO009,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525020657,prepaid,PRICO010,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525024428,prepaid,PRICO011,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525019949,prepaid,PRICO012,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525029948,prepaid,PRICO013,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525020608,prepaid,PRICO014,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525029914,prepaid,PRICO015,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525018966,prepaid,PRICO016,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525019071,prepaid,PRICO017,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525027124,prepaid,PRICO018,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525026811,prepaid,PRICO019,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
6.2525E+11,prepaid,PRICO020,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525029963,prepaid,PRICO021,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525029997,prepaid,PRICO022,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525019923,prepaid,PRICO023,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525019956,prepaid,PRICO024,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525029898,prepaid,PRICO025,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525018974,prepaid,PRICO026,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525019063,prepaid,PRICO027,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525024485,prepaid,PRICO028,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525020798,prepaid,PRICO029,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525020632,prepaid,PRICO030,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525018263,prepaid,PRICO031,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525025037,prepaid,PRICO032,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525020582,prepaid,PRICO033,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
62525029856,prepaid,PRICO034,223,1,600849,600849,150,150,151,151,600849,600849,STS6,STS6,0,electricity
